time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1696750223.81575203,0.00325193,1478,0.00017204,0.00000000,0,0.00000000,1009,988,72,0.00298700
1696750223.91567612,0.00280386,1556,0.00025439,0.00000000,0,0.00000000,988,1006,66,0.00525964
1696750224.01576042,0.00307036,1616,0.00016538,0.00000000,0,0.00000000,1006,1057,75,0.00531139
1696750224.11575127,0.00335460,1618,0.00021850,0.00000000,0,0.00000000,1057,1083,64,0.00126057
1696750224.21579385,0.00582822,1622,0.00095150,0.00000000,0,0.00000000,1083,1073,58,0.00279858
1696750224.31472254,0.00225837,1606,0.00014416,0.00000000,0,0.00000000,1073,1082,59,0.00196950
1696750224.41456318,0.00550510,1609,0.00026270,0.00000000,0,0.00000000,1082,1098,42,0.00291899
1696750224.51556182,0.00506535,1622,0.00013748,0.00000000,0,0.00000000,1098,1116,34,0.00466457
1696750224.61576915,0.00476395,1584,0.00018655,0.00000000,0,0.00000000,1116,1114,28,0.00192965
1696750224.71559644,0.00435083,1580,0.00029536,0.00000000,0,0.00000000,1114,1101,31,0.00105162
1696750224.81554222,0.00478251,1547,0.00014112,0.00000000,0,0.00000000,1101,1129,40,0.00388251
1696750224.91570425,0.00486512,1576,0.00026562,0.00000000,0,0.00000000,1129,1127,45,0.00524850
1696750225.01570535,0.00529591,1555,0.00014726,0.00000000,0,0.00000000,1127,1136,39,0.00314307
1696750225.11561251,0.00446852,1579,0.00019219,0.00000000,0,0.00000000,1136,1162,39,0.00295103
1696750225.21572042,0.00475569,1561,0.00028145,0.00000000,0,0.00000000,1162,1153,39,0.00356031
1696750225.31566811,0.00345122,1528,0.00009597,0.00000000,0,0.00000000,1153,1168,34,0.00378744
1696750225.41558027,0.00414709,1575,0.00020367,0.00000000,0,0.00000000,1168,1180,25,0.00428580
1696750225.51570439,0.00628033,1550,0.00026589,0.00000000,0,0.00000000,1180,1172,29,0.00436823
1696750225.61569381,0.00515059,1541,0.00017486,0.00000000,0,0.00000000,1172,1181,28,0.00311319
1696750225.71551871,0.00650472,1570,0.00010860,0.00000000,0,0.00000000,1181,1208,39,0.00420356
1696750225.81569839,0.00509548,1548,0.00019414,0.00000000,0,0.00000000,1208,1223,26,0.00165242
1696750225.91565251,0.00423579,1592,0.00030165,0.00000000,0,0.00000000,1223,1224,32,0.00386310
1696750226.01559186,0.00490476,1553,0.00016736,0.00000000,0,0.00000000,1224,1233,32,0.00318611
1696750226.11570859,0.00224528,1511,0.00009301,0.00000000,0,0.00000000,1233,1239,31,0.00301140
1696750226.21564794,0.00508840,1491,0.00014548,0.00000000,0,0.00000000,1239,1262,34,0.00345361
1696750226.31552100,0.00645999,1378,0.00019209,0.00000000,0,0.00000000,1262,1277,31,0.00136892
